periode_data,nama_rute,rute,tanggal,jumlah_bus,jumlah_penumpang
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-22T00:00:00Z,4,701
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-22T00:00:00Z,4,599
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-22T00:00:00Z,0,0
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-22T00:00:00Z,4,814
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-22T00:00:00Z,4,448
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-22T00:00:00Z,0,0
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-22T00:00:00Z,0,0
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-22T00:00:00Z,0,0
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-22T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-23T00:00:00Z,5,939
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-23T00:00:00Z,3,661
201401,"RUTE 3","TMII - GANDARIA",2014-01-23T00:00:00Z,5,1124
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-23T00:00:00Z,5,948
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-23T00:00:00Z,5,938
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-23T00:00:00Z,4,639
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-23T00:00:00Z,5,1072
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-23T00:00:00Z,4,766
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-23T00:00:00Z,3,389
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-23T00:00:00Z,2,288
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-23T00:00:00Z,4,835
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-23T00:00:00Z,2,237
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-23T00:00:00Z,3,281
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-23T00:00:00Z,2,263
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-23T00:00:00Z,0,0
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-23T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-24T00:00:00Z,4,766
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-24T00:00:00Z,3,538
